"Series";"Time";"Value"
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T07:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T07:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T07:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T07:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T08:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T08:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T08:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T08:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T08:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T08:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T09:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T09:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T09:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T09:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T09:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T09:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T10:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T10:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T10:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T10:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T10:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T10:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T11:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T11:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T11:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T11:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T11:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T11:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T12:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T12:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T12:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T12:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T12:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T12:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T13:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T13:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T13:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T13:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T13:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T13:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T14:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T14:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T14:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T14:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T14:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-28T14:50:00+01:00";null
